Date,Price
2005-02,10000
2005-03,10000
2005-04,10078.81278572526
2005-05,10570.72278831864
2005-06,11275.959054062147
2005-07,11688.746131653907
2005-08,11564.94223629484
2005-09,12443.688973780158
2005-10,11753.037651909079
2005-11,12404.7547810522
2005-12,12656.093803261576
2006-01,13076.216932449004
2006-02,13277.689276145684
2006-03,13217.84067576019
2006-04,13711.857741307706
2006-05,12702.213980463071
2006-06,12885.513438302934
2006-07,13120.775200172535
2006-08,13497.739814615301
2006-09,13658.682127242706
2006-10,14469.83518244557
2006-11,14595.588698135007
2006-12,15360.715901496786
2007-01,15780.63121174284
2007-02,15738.024655832332
2007-03,16321.568862209679
2007-04,16671.217077111927
2007-05,17367.192342292594
2007-06,17843.503335782396
2007-07,17859.55068288001
2007-08,17755.235669286096
2007-09,19545.59377967138
2007-10,20929.902700955077
2007-11,19265.724825837817
2007-12,18941.69351733886
2008-01,16616.016290053507
2008-02,16643.112254459324
2008-03,15116.79564056998
2008-04,16688.156802982357
2008-05,16860.5225687968
2008-06,15295.944587560381
2008-07,14775.533803151468
2008-08,14764.083603692627
2008-09,12767.71517715588
2008-10,10697.950390132259
2008-11,10172.662976183841
2008-12,9911.850402153452
2009-01,9813.162210114868
2009-02,9411.897025543418
2009-03,10121.274517163236
2009-04,11420.317937892616
2009-05,12309.450461835857
2009-06,12784.389371074489
2009-07,14106.743416165244
2009-08,14164.553385100022
2009-09,15207.896808146188
2009-10,14920.777336087434
2009-11,14980.982515567886
2009-12,16286.347472493311
2010-01,15754.949435263987
2010-02,16398.32079296533
2010-03,17808.76860034114
2010-04,18388.86565869624
2010-05,17303.57758695756
2010-06,17369.472936093596
2010-07,17839.886586298115
2010-08,17967.44571723943
2010-09,18870.305321408086
2010-10,18938.699958280213
2010-11,19932.357341822335
2010-12,20850.365063822
2011-01,20424.894773199594
2011-02,20069.577563073122
2011-03,20466.85538036073
2011-04,20647.562170045858
2011-05,20693.24820859677
2011-06,20134.110800957977
2011-07,20409.45290636583
2011-08,18731.692460880782
2011-09,17126.0632204743
2011-10,18956.464475505483
2011-11,18295.59277987203
2011-12,18738.37071990385
2012-01,20419.37808709197
2012-02,20981.904257189715
2012-03,20600.48825873538
2012-04,20976.765261293855
2012-05,19863.91127709794
2012-06,20284.21157533612
2012-07,21995.93631276715
2012-08,21544.67817212073
2012-09,22122.53764192086
2012-10,22137.12750931621
2012-11,22477.942634624455
2012-12,22902.36085564822
2013-01,22848.187987772108
2013-02,24325.676820934947
2013-03,24319.252419049655
2013-04,24230.089020191233
2013-05,23074.329838774414
2013-06,21519.75952158904
2013-07,21760.093823280513
2013-08,22095.19459499967
2013-09,23000.13933717094
2013-10,23859.61598322028
2013-11,23407.99043078549
2013-12,22835.078907474777
2014-01,22070.705406810972
2014-02,22722.88188544749
2014-03,23201.789537984674
2014-04,23545.47114194734
2014-05,24431.348347008014
2014-06,24421.347195753075
2014-07,25768.271054641908
2014-08,26215.920021621696
2014-09,24809.413308636176
2014-10,25712.28518317167
2014-11,25020.223280457005
2014-12,25133.54732791772
2015-01,27102.88269107269
2015-02,28239.695950629364
2015-03,29267.94813723169
2015-04,29381.309087914884
2015-05,29391.996610288956
2015-06,27389.249528993187
2015-07,26772.91197264699
2015-08,23718.357032404816
2015-09,23286.39096353431
2015-10,25492.742976163896
2015-11,26154.506610359076
2015-12,25719.77793773583
2016-01,23215.105019347313
2016-02,23521.352239024534
2016-03,25229.494041550664
2016-04,25466.867356998715
2016-05,25441.85670310243
2016-06,25935.864631281544
2016-07,27484.747805223735
2016-08,27633.70803442343
2016-09,27972.072228296685
2016-10,27950.687691547704
2016-11,28673.807687946737
2016-12,28936.024412306735
2017-01,29844.976294568478
2017-02,31317.73941608937
2017-03,32081.10450504654
2017-04,31727.72632360355
2017-05,31203.076667028072
2017-06,31325.538245043164
2017-07,31489.673413396205
2017-08,31116.117299426158
2017-09,31262.48177285938
2017-10,32920.736275046074
2017-11,32553.458691900865
2017-12,33511.13776218223
2018-01,33515.54340724133
2018-02,32834.9155375
2018-03,31834.106415637892
2018-04,33297.90407983157
2018-05,34016.679887012106
2018-06,33021.98472686047
2018-07,33131.76921625249
2018-08,32999.1841286731
2018-09,33155.70020982827
2018-10,30203.94421697483
2018-11,31139.270954225412
2018-12,30222.43133802147
2019-01,32551.75481868306
2019-02,33476.58799828631
2019-03,33907.71117488595
2019-04,34401.93770955611
2019-05,33013.36259985523
2019-06,34554.10594845315
2019-07,34596.62885762997
2019-08,33038.12831090674
2019-09,34361.43774227932
2019-10,34690.49115696593
2019-11,35027.66138893621
2019-12,36076.79768641191
2020-01,35528.65938227012
2020-02,33091.21961292513
2020-03,27167.702073315726
2020-04,30194.06828181291
2020-05,30005.10779797844
2020-06,32138.375454158802
2020-07,31785.741560477796
2020-08,32935.806737440354
2020-09,32455.844888492265
2020-10,32610.889177912257
2020-11,36829.69446796901
2020-12,39265.64454996674
2021-01,39886.64052265614
2021-02,40727.92908545221
2021-03,42446.97332634711
2021-04,43045.455395299185
2021-05,43084.45725085558
2021-06,44188.74054961212
2021-07,42915.541245886656
2021-08,43086.2197950647
2021-09,41310.47287119484
2021-10,42574.61834085154
2021-11,41284.037965711315
2021-12,42792.609218761056
2022-01,40406.43345015941
2022-02,41058.995539791365
2022-03,43742.80850674253
2022-04,42954.553354372176
2022-05,42912.55626270475
2022-06,39183.55277878002
2022-07,41944.7538550037
2022-08,41751.41378657648
2022-09,37703.05689540431
2022-10,37982.44751952793
2022-11,41663.44495857058
2022-12,39885.62280650871
