Date,Price
2005-03,10000
2005-04,10080.062785725258
2005-05,10573.293804096686
2005-06,11280.023259435919
2005-07,11694.36912120071
2005-08,11571.96746486578
2005-09,12452.694500923304
2005-10,11763.099939869617
2005-11,12416.845419954032
2005-12,12669.981522402117
2006-01,13092.14940661065
2006-02,13295.503749226165
2006-03,13237.23678885549
2006-04,13733.633439125178
2006-05,12724.102974822008
2006-06,12909.308814940805
2006-07,13146.618692811784
2006-08,13525.969127476668
2006-09,13688.938782664716
2006-10,14503.599818064784
2006-11,14631.459723261476
2006-12,15400.296283215732
2007-01,15823.218637896827
2007-02,15782.47500136454
2007-03,16369.640174504913
2007-04,16722.36440036699
2007-05,17422.5652144329
2007-06,17902.57267978892
2007-07,17920.9109717987
2007-08,17818.47767563694
2007-09,19617.440135219982
2007-10,21009.289726134597
2007-11,19341.425793167262
2007-12,19018.53894406886
2008-01,16685.80388735203
2008-02,16715.09938083058
2008-03,15184.270315399668
2008-04,16764.54337128409
2008-05,16939.793673478154
2008-06,15369.97717707238
2008-07,14848.96884420702
2008-08,14839.31785786794
2008-09,12834.631327970244
2008-10,10755.623142550647
2008-11,10228.8483520447
2008-12,9967.873871133095
2009-01,9869.873860835327
2009-02,9467.523442307996
2009-03,10182.276954013952
2009-04,11490.42268854935
2009-05,12386.449543225148
2009-06,12865.907635369726
2009-07,14198.301765240189
2009-08,14258.261731478697
2009-09,15310.289877736284
2009-10,15023.15104859506
2009-11,15085.64719880887
2009-12,16402.017798166245
2010-01,15868.895871406945
2010-02,16518.903973977704
2010-03,17941.78821137914
2010-04,18528.46093097232
2010-05,17437.250176805668
2010-06,17505.834233127334
2010-07,17982.129155901384
2010-08,18112.95311878935
2010-09,19025.38855223376
2010-10,19096.723455395542
2010-11,20101.058953306165
2010-12,21029.349055096238
2011-01,20602.8551051704
2011-02,20247.017403979316
2011-03,20650.33852477394
2011-04,20835.246623595616
2011-05,20883.95234989055
2011-06,20322.272556568056
2011-07,20602.728134127094
2011-08,18911.654826593418
2011-09,17292.96366322911
2011-10,19143.364542464347
2011-11,18478.369944560287
2011-12,18927.881133927916
2012-01,20628.25534545173
2012-02,21199.11433262093
2012-03,20816.399706832643
2012-04,21199.222477167743
2012-05,20077.21665247574
2012-06,20504.539929080347
2012-07,22237.420593382863
2012-08,21783.98795396111
2012-09,22370.989057175324
2012-10,22388.539152515623
2012-11,22736.023487000377
2012-12,23168.156675449074
2013-01,23116.251118094653
2013-02,24613.96391117376
2013-03,24610.540118267796
2013-04,24523.385068186457
2013-05,23356.70128287267
2013-06,21786.026544048877
2013-07,22032.05778930067
2013-08,22374.100754913703
2013-09,23293.265316484205
2013-10,24166.60724710344
2013-11,23712.191651730656
2013-12,23134.798815050257
2014-01,22363.284444145687
2014-02,23026.901873331786
2014-03,23515.095416462325
2014-04,23866.35731949677
2014-05,24767.29087345843
2014-06,24760.24811303076
2014-07,26128.958589750026
2014-08,26586.139576277707
2014-09,25163.093532422135
2014-10,26081.98203420063
2014-11,25383.22976208086
2014-12,25501.3708777959
2015-01,27502.71467186058
2015-02,28659.736470109514
2015-03,29706.865466293693
2015-04,29825.639794767307
2015-05,29840.21714848699
2015-06,27810.6587062639
2015-07,27188.314553478915
2015-08,24089.764353675702
2015-09,23654.04532011095
2015-10,25898.18880928845
2015-11,26573.71464601255
2015-12,26135.339796656095
2016-01,23593.465074104184
2016-02,23907.652697705307
2016-03,25646.83644435211
2016-04,25891.34220716279
2016-05,25869.15110023468
2016-06,26374.689504655707
2016-07,27953.076023508143
2016-08,28108.06860510642
2016-09,28455.75467145292
2016-10,28437.55733075486
2016-11,29176.82796134184
2016-12,29447.291817550828
2017-01,30375.984781260377
2017-02,31878.748631406164
2017-03,32659.7730774142
2017-04,32304.10324642408
2017-05,31773.960634429364
2017-06,31902.634485028706
2017-07,32073.781270751977
2017-08,31697.30521703033
2017-09,31850.3656543244
2017-10,33543.784552148514
2017-11,33173.74895338588
2017-12,34153.82284939374
2018-01,34162.58221488576
2018-02,33473.08471551364
2018-03,32457.00831527533
2018-04,33953.50541554552
2018-05,34690.67736407509
2018-06,33680.60991239601
2018-07,33796.79413532032
2018-08,33665.77238293342
2018-09,33829.65833293337
2018-10,30822.1305070054
2018-11,31780.45340990534
2018-12,30848.70789052395
2019-01,33230.15626580515
2019-02,34178.417388358204
2019-03,34622.851270809035
2019-04,35131.829285281216
2019-05,33718.18483481307
2019-06,35296.03721765492
2019-07,35343.88516555355
2019-08,33756.14038353437
2019-09,35112.42859322797
2019-10,35453.0627309921
2019-11,35802.07632235859
2019-12,36878.8828853711
2020-01,36323.16783831781
2020-02,33835.761299708494
2020-03,27783.19601073867
2020-04,30881.59851982003
2020-05,30692.195534845767
2020-06,32878.149466513234
2020-07,32521.50827315928
2020-08,33702.25999883452
2020-09,33215.34168041065
2020-10,33378.16606732848
2020-11,37700.404699571285
2020-12,40198.65691281161
2021-01,40839.43354109481
2021-02,41705.92333246147
2021-03,43471.4599903896
2021-04,44089.82076493645
2021-05,44135.280107964696
2021-06,45272.01360556092
2021-07,43973.26122363924
2021-08,44153.643067646386
2021-09,42339.42277794417
2021-10,43640.34766343726
2021-11,42322.91647905349
2021-12,43874.74003880504
2022-01,41433.70748398563
2022-02,42108.039216667836
2022-03,44865.68621699809
2022-04,44062.80476896127
2022-05,44025.231979520475
2022-06,40205.042661897285
2022-07,43043.25209499561
2022-08,42850.22901738777
2022-09,38700.68360052743
2022-10,38992.3045143203
2022-11,42776.044382075816
2022-12,40956.093471052896
